"Bird"	"Colony"	"Band"	"eggs"	"pipped.egg"	"chick"	"Date"	"Time"	"TAR..mm."	"CUL..mm."	"SKULL..mm."	"MN..mm."	"MX..mm."	"Mass..g."	"sex"	"capture"	"Notes"	"Person.measuring"	"Sex"	"Area"	"body_condition"
31	"A5/7"	"1106-11049"	2	0	0	20210519	"11:49"	57.8	47.2	113.7	15.5	16.1	"670"	""	"dry"	""	"Amy"	""	"SF"	528.470828274624
32	"A5/7"	"1106-11050"	2	0	0	20210519	"12:24"	57.8	41.4	102.9	14.6	15.6	"540"	""	""	""	"Amy"	""	"SF"	584.289515298069
33	"A5/7"	"1106-11051"	2	0	0	20210519	"12:51"	52.4	39.9	99.8	14.2	15.6	"570"	""	"dry"	"on point"	"Amy"	""	"SF"	679.495545681674
34	"A5/7"	"1106-11052"	0	1	1	20210519	"13:14"	56.4	40.2	109.1	16.2	16.5	"680"	""	"dry"	"on point, one pipped egg and one fresh chick"	"Amy"	""	"SF"	611.312700386262
35	"A5/7"	"1106-11054"	2	0	0	20210519	"13:36"	59.8	41.8	107.6	16.5	17.9	"700"	""	"wet"	""	"Amy"	""	"SF"	657.500427933207
36	"A5/7"	"1106-11055"	2	0	0	20210519	"14:12"	59.2	38.1	98.8	14.1	15.1	"570"	""	"wet"	"on point"	"Amy"	""	"SF"	701.518663094335
37	"A5/7"	"1106-11056"	2	0	0	20210519	"14:55"	59.8	40.3	105.6	15.1	16.1	"640"	""	"dry"	""	"Amy"	""	"SF"	637.94976357869
38	"A5/7"	"1106-11058"	1	1	0	20210519	"15:20"	56.8	39	98.2	13.9	14.2	"580"	""	"wet"	""	"Amy"	""	"SF"	727.731873438181
39	"A5/7"	"1106-11059"	3	0	0	20210519	"15:53"	58.5	42.1	111	16.2	17.5	"780"	""	"dry"	""	"Amy"	""	"SF"	663.895554327803
40	"ML"	"1055-08474"	1	0	0	20220604	"13:09"	58.5	45.2	113.4	17.3	17.4	"635"	"M"	"wet"	""	"Amy"	""	"ML"	505.073015328386
41	"ML"	"1055-08475"	2	0	0	20220604	"13:33"	57.2	41.1	107.2	16.5	16.7	"not taken"	""	"dry"	"flew away before weighing"	"Amy"	""	"ML"	
42	"ML"	"1055-08466"	1	0	0	20220604	"14:30"	57.8	38.9	103.1	14.7	15.2	"580"	""	"dry"	"slight amount of blood in cloaca"	"Amy"	""	"ML"	623.722411454173
43	"ML"	"1055-08476"	2	0	0	20220604	"15:45"	58.3	40.9	100.7	14.9	15	"520"	"F"	"dry"	""	"Amy"	""	"ML"	602.512295851552
44	"ML"	"1055-08477"	1	0	0	20220605	"10:50"	61.8	45.7	111.15	16.4	17.4	"580"	""	"dry"	""	"Alex"	"sent for sexing "	"ML"	491.558885279941
45	"ML"	"1055-08478"	2	0	0	20220605	"11:05"	57.15	43.5	97.1	13.98	14.15	"550"	""	"dry"	""	"Alex"	""	"ML"	715.157138499404
46	"ML"	"1055-08479"	2	0	0	20220605	"11:40"	57.55	37.5	100	14.9	15.1	"530"	"F"	"dry"	"slight amount of blood in cloaca"	"Amy"	""	"ML"	627.818005861255
47	"ML"	"1055-08480"	1	0	0	20220605	"11:55"	60.9	42.75	112.9	17.8	18.45	"500"	"M"	"dry"	""	"Amy"	""	"ML"	403.300633490349
48	"ML"	"1106-11062"	1	0	0	20220605	"12:23"	51.45	37.85	101.3	14.1	14.9	"480"	""	"wet"	""	"Amy"	"sent for sexing"	"ML"	545.79830366971
49	"ML"	"1106-11063"	1	0	0	20220605	"13:19"	53.95	39.98	99.55	14.3	14.7	"470"	"F"	"dry"	""	"Amy"	""	"ML"	564.754517692481
50	"ML"	"1106-11064"	2	0	0	20220605	"13:41"	61.9	46.5	107.2	15.8	16.7	"485"	""	"dry"	""	"Alex"	"sent for sexing"	"ML"	460.959581901446
51	"ML"	"1106-11066"	0	0	0	20220605	"13:58"	56.9	39.6	101.15	14.75	15.1	"445"	"F"	"dry"	"lots of feces on cloaca swab"	"Amy"	""	"ML"	508.381004890068
53	"ML"	"1106-11061"	2	0	0	20220605	"14:13"	61.6	50.2	115.1	16.5	16.9	"570"	""	"dry"	"did not get blood blot"	"Alex"	""	"ML"	559.4044179853
54	"ML"	"1106-11067"	1	0	0	20220605	"14:34"	58.5	38.4	103.4	14.5	14.55	"525"	"F"	"wet"	""	"Amy"	""	"ML"	519.768278642879
55	"ML"	"1106-11070"	0	0	0	20220605	"15:08"	56.2	39.6	100.8	15.8	16.55	"450"	"F"	"wet"	"brine fly larva in mouth"	"Amy"	""	"ML"	433.606479932391
56	"ML"	"1106-11060"	1	0	0	20220605	"15:15"	56.15	38.7	105.6	15.5	16.4	"435"	""	"dry"	"brood patch"	"Amy"	"sent for sexing"	"ML"	495.420257797466
57	"ML"	"1106-11071"	2	0	0	20220605	"15:31"	58.4	40.85	105.8	15.75	16.2	"500"	""	"dry"	""	"Amy"	"sent for sexing"	"ML"	489.150677326851
58	"ML"	"1106-11072"	2	0	0	20220606	"8:15"	56.65	40.1	99	14.1	14.6	"400"	""	"dry"	"no brood patch"	"Alex"	""	"ML"	476.827672865257
59	"ML"	"1106-11073"	2	0	0	20220606	"8:36"	57.4	40	101.35	14.15	15.05	"420"	""	"wet "	""	"Amy"	"sent for sexing"	"ML"	513.36399660713
60	"ML"	"1106-11074"	2	0	0	20220606	"9:03"	60.1	40.09	101.9	14.85	15.7	"460"	""	"dry"	"brood patch"	"Amy"	""	"ML"	498.184754080663
61	"ML"	"1106-11075"	1	0	0	20220606	"9:17"	56.65	41.4	99.2	13.95	14.85	"410"	"F"	"dry"	""	"Alex"	""	"ML"	534.427505676591
62	"ML"	"1106-11076"	2	0	0	20220606	"9:31"	55.75	37.15	101.3	14.65	15.5	"470"	"F"	"dry"	"no brood patch"	"Alex"	""	"ML"	435.326524350803
63	"ML"	"1106-11078"	2	0	0	20220606	"9:47"	64.2	45.4	110.9	16.2	16.65	"510"	""	"dry"	"brood patch"	"Alex"	"sent for sexing"	"ML"	450.558820972713
64	"ML"	"1106-11081"	2	0	0	20220606	"10:07"	60.1	44.9	111.7	15.85	16.4	"540"	""	"dry"	""	"Amy"	"sent for sexing"	"ML"	540.714871854307
65	"ML"	"1106-11082"	2	0	0	20220606	"10:21"	58.2	41.9	104.2	14.25	15	"520"	""	"dry"	""	"Amy"	"sent for sexing"	"ML"	551.238250164932
